Date,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
1986-12-31,64.722689407,76.024078041,64.589550788,68.564384713,51.060995302,45.682729343,81.809849353,61.555657705,64.101101574,60.15150376,56.781775714,57.01136203,51.03128022,57.295528171,53.187308282,62.373656708,56.910594925,67.198157653,66.170683533,60.658650716,65.27810868,44.851071362,51.450292648,67.861641464,62.148536159,51.969540999,57.535625522,64.013219716,74.866989694,69.251237864,67.331919744,68.753167043,59.264445836,68.671327317,54.469937872,73.930353905,39.778750055,62.098484098,67.407707576,59.653884993,58.37248747,62.340767997,73.852699822,49.96385095,61.481838977,60.603363397,42.179942153,64.245242988,49.375232966,58.33271169
1987-01-31,64.948455644,75.113953328,65.125384873,68.670986592,51.357178179,45.92180422,82.803309198,62.232027379,64.225532437,60.398265411,57.072764758,57.044733355,50.92604088,57.610797904,53.460792152,62.310484864,57.023598343,67.23160004,67.116203022,60.985492936,65.833598811,45.014517331,51.709325219,67.893673798,62.44840961,52.280200708,57.524080482,64.296311312,75.345519171,70.105104482,67.501530657,69.291765864,59.537712595,68.808475394,54.695499953,73.690630823,39.871429589,62.478413636,68.872527274,60.167487145,58.632746989,62.638139449,73.757694637,50.181107602,62.099177259,60.865534195,42.461522532,64.170637802,49.569424158,57.958830982
1987-02-28,65.198676518,73.952042927,65.463264405,69.008333544,51.679834709,46.250442383,83.877473571,62.717708917,63.903230193,60.747174523,57.415961048,57.118419495,51.306040518,57.860199056,53.773232902,62.355531252,57.101377365,67.397885284,68.008029436,61.339900521,66.364239306,45.313718124,51.92419726,67.982195056,62.898737909,52.760803753,57.565570286,64.702087719,76.050842362,70.908155697,67.66361675,69.831623888,59.98606992,69.05292728,55.164684861,73.430751888,39.927584983,62.842114283,69.890992335,60.710156685,58.779169873,62.981310669,73.89452808,50.321798039,62.721736134,61.070800384,42.844467185,64.249946851,49.791353457,57.546303217
1987-03-31,65.517008796,72.532604687,65.569162664,69.516331324,52.113416514,46.308715711,85.260630179,63.047742898,63.814241932,61.211969716,57.780134626,57.100419834,52.224876565,58.081837554,54.017641943,62.651392954,57.221746273,67.618132604,68.903565712,61.931869699,66.94895766,45.806425468,52.086814607,68.047248915,63.390609175,53.181969131,57.659926557,65.085485466,77.166116902,71.99418009,67.692724242,70.743450342,60.315727527,69.307636637,55.668010344,72.951987804,39.971606048,63.366700118,71.034785528,61.022563277,58.857104615,63.463946478,74.007336463,50.389394588,63.455480603,61.403760852,43.067798169,64.55292636,50.043606228,56.979747232
1987-04-30,65.786223783,70.903611801,65.460224301,70.024162914,52.640809116,46.056408901,87.182390995,63.429587119,64.511811054,61.514035888,58.094409555,56.887206956,53.019116922,58.270378294,54.087766315,63.076803864,57.537441289,67.820374831,69.872771602,62.780233883,67.658290032,46.339188535,52.353183314,68.089982072,63.835871292,53.405101708,57.71921082,65.333974533,78.534694013,73.68853191,67.560764104,71.769381843,60.476628874,69.500985631,56.221888742,72.268785246,40.010842678,64.354701868,72.676661747,61.085625018,58.943989017,63.949860409,73.266453762,50.362110031,64.341260686,62.058493746,43.107024605,65.06800918,50.334126608,56.273359453
1987-05-31,65.947350638,69.175239242,65.432764842,70.302858752,53.124805421,45.710145213,89.401002797,64.042705117,65.139979825,61.696361997,58.427115951,56.483965243,53.702676001,58.447312173,53.973387828,63.501442434,58.131712463,67.703686837,70.876853301,63.829378669,68.430403588,46.84476312,52.77919065,68.179422566,64.209374567,53.365874527,57.578839485,65.45060066,79.716963367,75.605614441,67.406553778,72.947592911,60.781675461,69.595782692,56.686093809,71.599769352,40.078449866,65.65340812,74.700062988,61.036506365,59.06890997,64.266263072,71.436662954,50.128530993,65.267460816,62.960221794,43.09974007,65.591594111,50.62873592,55.526539894
1987-06-30,66.044262201,67.512071065,65.587487766,70.283943794,53.666832831,45.358746612,91.35020282,64.895168642,65.471748303,62.105065539,58.929248903,55.943016687,54.245393937,58.702358763,53.800740147,63.764468115,58.829538865,67.071985456,71.885126849,64.912722597,69.159756493,47.405583653,53.108266369,68.279309093,64.430632964,53.126048741,57.279236894,65.465658598,80.468359191,77.180989357,67.411884715,74.271800915,61.262625433,69.573216478,56.966293513,70.968108532,40.071167704,67.001241705,76.749010492,60.981254131,59.145240104,64.373587882,70.780999203,49.71815841,66.142873323,63.925773727,43.196645617,65.888622561,50.915931896,54.836619925
1987-07-31,66.093997741,66.032787849,65.648204313,70.053605127,54.122263654,45.105076032,92.965196649,65.842252384,65.689527742,62.508021779,59.534145765,55.395038654,54.609830196,59.034250104,53.72177237,63.685470608,59.340558892,66.170798453,72.851761812,65.672600513,69.635997313,47.832613339,53.214521782,68.370493932,64.493559071,52.743661574,57.039994092,65.501408455,80.868508356,78.283468999,67.5483258,75.281254083,61.658786294,69.436445486,57.118998895,70.245400619,39.985356767,68.12245158,78.572217378,61.050783698,59.135744784,64.381047971,71.28709501,49.285734619,66.895778771,64.832446614,43.355942304,65.883556688,51.16478957,54.238200161
1987-08-31,66.068821034,64.711242676,65.494420124,69.720152877,54.57388646,45.00346138,94.221814067,66.755748705,65.846704447,62.586288117,60.155984468,54.961481746,54.977583641,59.256115759,53.709546632,63.473042863,59.609359952,65.335736117,73.75871528,66.044755073,69.993815019,48.050923961,53.256998948,68.413633458,64.520601813,52.247636083,56.991174842,65.582042545,81.111189185,79.162402595,67.629399885,75.935556584,61.892438594,69.198993104,57.332287268,69.380574593,39.967719746,68.801715693,80.125047107,61.27952556,59.046063169,64.508064438,71.191354813,48.904801243,67.599347086,65.466253935,43.395892435,65.652853498,51.343099689,53.642927116
1987-09-30,65.910674944,63.489361656,65.307331827,69.339099122,55.126626032,44.923869641,95.037889824,67.487998501,65.920798112,62.537012169,60.80746747,54.681074329,55.285087977,59.163441179,53.573987179,63.386274603,59.636602969,64.809750524,74.658448519,66.375922491,70.418340723,48.227437495,53.283436121,68.307293121,64.511295331,51.708670277,57.126535735,65.572456527,81.423653464,79.905364251,67.607305441,76.472019771,62.109732215,68.892403909,57.50950986,68.509314374,40.014380665,69.327329052,81.457429023,61.569613662,58.892184002,64.751731386,70.68688055,48.625034748,68.369759134,65.878208654,43.38930941,65.417809683,51.485573334,53.009298194
1987-10-31,65.742657008,62.45371795,65.153838362,68.924846432,55.606738075,44.766423174,95.570767198,68.019074096,65.963554303,62.656396594,61.457136822,54.534960537,55.392851779,59.002840104,53.32050391,63.347885279,59.519759026,64.573574496,75.572048378,66.855403475,70.776047339,48.471386479,53.253004494,68.050468186,64.645141844,51.217700455,57.291306559,65.42194754,81.721326079,80.419437319,67.474418789,77.005091341,62.353095568,68.553175154,57.688141541,67.870240955,40.015654632,69.964295555,82.607023863,61.901005887,58.722088588,64.962003335,69.860824355,48.514727082,69.179674983,66.353109786,43.421928049,65.383249862,51.536700221,52.353454684
1987-11-30,65.767226791,61.846449771,65.10388786,68.539210984,56.018213009,44.549825953,95.843845125,68.463471753,66.165980939,62.857617667,62.082132234,54.496628525,55.389278779,59.15119316,53.118358361,63.247680845,59.468000529,64.414259618,76.458799226,67.471854982,70.935551422,48.63072251,53.179070656,67.743323865,64.871604313,50.858454554,57.3066897,65.260757176,81.775030624,80.678436444,67.276852292,77.541329959,62.442734665,68.198703481,57.949290994,67.456759508,39.934336974,70.438566171,83.490621976,62.313926199,58.579717209,65.137608066,68.930197177,48.532873962,69.906156258,66.887136392,43.434357723,65.609265496,51.411696427,51.705423648
1987-12-31,65.966917166,61.943241779,65.211632832,68.294949072,56.454362343,44.386981588,95.879276143,68.863786161,66.337656327,62.986400426,62.69604703,54.608738175,55.476651307,59.524258918,53.051341763,63.127859841,59.567987676,64.130778891,77.235292814,68.167503451,70.908635875,48.576508769,53.180676016,67.526366751,64.945154882,50.667382083,57.206056797,65.268861045,81.712324238,80.847936986,67.197834224,77.90746071,62.395706286,67.85444938,58.137342915,67.003682993,39.829227208,70.640368191,84.104007721,62.721157009,58.456812441,65.249511443,68.364526235,48.564231871,70.498986999,67.350819478,43.527823509,66.04111008,51.321830461,51.198426191
1988-01-31,66.256477844,62.824914922,65.364337665,68.246087625,56.943921966,44.374854372,96.039883055,69.29137441,66.47244599,63.157493082,63.378557811,54.912481308,55.719563172,59.893003729,53.097026988,63.088532466,59.804278273,63.736717514,77.862832517,68.723433357,70.826762083,48.598832098,53.383104603,67.545170774,64.88994992,50.635172059,57.205812615,65.462222155,81.84741701,81.121035919,67.244335067,78.096927446,62.437033015,67.563793293,58.331967875,66.462600515,39.76885389,70.91714388,84.590247122,63.013809988,58.302313692,65.365734905,68.280421723,48.519671667,71.042381937,67.685342336,43.763134426,66.569684962,51.369808199,50.894597711
1988-02-29,66.575732794,64.242655489,65.529897963,68.354928033,57.49892162,44.533600119,96.535018294,69.750086769,66.608913748,63.527802438,64.146218407,55.346763533,56.048753271,60.259211609,53.259146031,63.172887009,60.078117623,63.409143928,78.402545344,69.14264407,70.892381933,48.865432612,53.691279203,67.789269064,64.909292771,50.747669809,57.340919507,65.735157921,82.211840309,81.438435755,67.277151002,78.295565851,62.639911478,67.34754506,58.630430982,66.056867646,39.798396624,71.51657523,84.9983366,63.124098161,58.107609881,65.628630209,68.3639359,48.405200585,71.733787753,68.013307386,44.015812128,67.122423369,51.536015494,50.682117607
